,name,name2,position
13,Ante Budimir,ante budimir,FW
14,Rubén García,ruben garcía,FW
15,Joaquín,joaquin,FW
16,Álvaro Morata,alvaro morata,FW
17,Cucho Hernández,cucho hernandez,FW
18,Luuk de Jong,luuk de jong,FW
19,Carlos Fernández,carlos fernandez,FW
20,Jaime Mata,jaime mata,FW
21,Rodrigo,rodrigo,FW
22,Takefusa Kubo,takefusa kubo,FW
23,Martin Braithwaite,martin braithwaite,FW
24,Ferran Torres,ferran torres,FW
25,Enes Ünal,enes unal,FW
26,Lucas Pérez,lucas perez,FW
27,Isco,isco,FW
28,Maximiliano Gómez,maximiliano gomez,FW
29,Jonathan Calleri,jonathan calleri,FW
30,Guido Carrillo,guido carrillo,FW
31,Iñaki Williams,inaki williams,FW
32,Gonçalo Guedes,goncalo guedes,FW
33,Ángel Correa,angel correa,FW
34,Óscar Plano,oscar plano,FW
35,Manu Trigueros,manu trigueros,FW
36,Vinícius Júnior,vinicius junior,FW
37,Portu,portuguese,FW
38,Diego Costa,diego costa,FW
39,João Félix,joao felix,FW
40,Roberto Soldado,roberto soldado,FW
41,Loren Morón,loren moron,FW
42,Borja Mayoral,borja mayoral,FW
43,Kike García,kike garcia,FW
44,Marcos Llorente,marcos llorente,FW
45,Sergi Guardiola,sergi guardiola,FW
46,Vitolo,vitolo,FW
47,Santi Mina,saint mina,FW
48,Jorge Molina,george molina,FW
49,Iñigo Córdoba,inigo cordoba,FW
50,Ángel Rodríguez,angel rodriguez,FW
51,Willian José,william jose,FW
52,Roger Martí,roger marti,FW
53,Sandro Ramírez,sandro ramirez,FW
54,Sergi Enrich,sergi enrich,FW
55,Franco Vázquez,franco vazquez,FW
56,Adrián López,adrian lopez,FW
57,Pione Sisto,pione sisto,FW
58,José Luis Morales,jose luis morales,FW
59,Alexander Isak,alexander isak,FW
60,Gonzalo Melero,gonzalo melero,FW
61,Oliver Burke,olivier burke,FW
62,Brais Méndez,brais mendez,FW
63,Kevin Gameiro,kevin gameiro,FW
64,Borja Iglesias,borja iglesias,FW
65,Charles,charles,FW
66,Wu Lei,wu lei,FW
67,Matías Vargas,matias vargas,FW
68,Carlos Bacca,carlos bacca,FW
69,Denis Cheryshev,denis cheryshev,FW
70,Asier Villalibre,asian villalibre,FW
71,Cardona,cardona,FW
72,Óscar Melendo,oscar melendo,FW
73,Sergio León,sergio leon,FW
74,Víctor Campuzano,victor campuzano,FW
75,Gabriel Fernández,gabriel fernandez,FW
0,Lionel Messi,lionel messi,FW
1,Gerard Moreno,gerard moreno,FW
2,Karim Benzema,karim benzema,FW
3,Iago Aspas,iago aspas,FW
4,Marcos Llorente,marcos llorente,FW
5,Joselu,joselu,FW
6,Antoine Griezmann,antoine griezmann,FW
7,Yannick Carrasco,yannick carrasco,FW
8,Luis Suárez,luis suarez,FW
9,Nabil Fekir,nabil fekir,FW
10,Mikel Oyarzabal,mikel oyarzabal,FW
11,Alexander Isak,alexander isak,FW
12,Ousmane Dembélé,ousmane dembele,FW
13,David Silva,david silva,FW
14,Kike García,kike garcia,FW
15,Ángel Correa,angel correa,FW
16,Lucas Ocampos,lucas ocampos,FW
17,Maximiliano Gómez,maximiliano gomez,FW
18,Suso,suso,FW
19,Youssef En-Nesyri,youssef en-nesyri,FW
20,Santi Mina,saint mina,FW
21,Gonçalo Guedes,goncalo guedes,FW
22,Alex Berenguer,alex berenguer,FW
